fonction,indemnite_responsabilite
"Attaché financier adjoint, 2ème secrétaire d'Ambassade",25000
"Attaché d'ambassade, 3ème secrétaire d'Ambassade",20000
Directeur Général du protocole d'Etat,160000
Directeur général adjoint du Protocole d'Etat,130000
Directeur de service des Directions générales,50000
"Directeur de direction spécifique du MAECR (DCVD, DIT",50000
"Directeur de direction d'appui (DAF, DMP)",65000
"Autre directeur de direction d'appui (DRH, DCPM)",50000
Chargé d’études,50000
Personnel de Catégorie A exerçant au ministère en charge,10000
Personnel des Catégories B et C exerçant au ministère en,8000
Personnel des Catégories D et E exerçant au ministère en,5000
